class,actual,stamp,peakR_aim,gearR,contourR_aim,rOuter_aim,bcDist_aim,peakR_rOuter,minDim,aimR,peakTc,bcTc,fft90,opTc,bcPeaks,tc,conf,innerSus
Small,13,2026-04-04_09-10-20-407Z,0.5422,0.2711,0.0000,0.2696,0.0000,2.0110,675,338,11,13,17,17,12,13,0.000,true
Small,11,2026-04-04_09-10-51-656Z,0.8089,0.3033,0.0000,0.8948,0.0000,0.9040,675,338,12,11,12,10,17,17,0.121,false
Small,13,2026-04-05_08-31-34-725Z,0.5007,0.2504,0.0000,0.2489,0.0000,2.0119,675,338,10,13,17,10,14,0,0.000,false
Small,13,2026-04-05_14-39-43-491Z,0.6459,0.3230,0.0000,0.2933,0.0000,2.2020,675,338,14,13,19,13,13,13,1.000,false
Small,13,2026-04-05_20-11-19-230Z,0.3822,0.1433,0.0000,0.2963,0.0000,1.2900,675,338,13,13,13,13,13,13,1.000,false
Small,11,2026-04-06_10-01-25-781Z,0.5511,0.2067,0.0000,0.4593,0.0000,1.2000,675,338,11,11,36,22,13,11,0.000,true
Small,11,2026-04-19_20-32-41-522Z,0.4919,0.2459,0.0000,0.2874,0.0000,1.7113,675,338,13,10,12,11,12,12,0.000,true
Small,11,2026-04-22_07-27-06-532Z,0.3081,0.1541,0.0000,0.2489,0.0000,1.2381,675,338,11,10,22,11,12,11,0.805,false
Small,12,2026-04-29_05-18-37-310Z,0.4919,0.2459,0.0000,0.3941,0.0000,1.2481,675,338,12,12,12,12,12,12,1.000,false
Small,12,2026-04-30_05-41-00-183Z,0.4770,0.2385,0.0000,0.4681,0.0000,1.0190,675,338,12,12,12,12,12,12,1.000,false
Mid,15,2026-04-04_09-09-24-950Z,0.4356,0.2178,0.0000,0.3644,0.0000,1.1951,675,338,15,15,15,15,14,15,1.000,false
Mid,14,2026-04-04_09-09-54-631Z,0.3289,0.1644,0.0000,0.2578,0.0000,1.2759,675,338,14,14,14,14,14,14,1.000,false
Mid,14,2026-04-05_08-25-39-887Z,0.4830,0.1811,0.0000,0.2993,0.0000,1.6139,675,338,14,14,14,14,13,14,1.000,false
Mid,18,2026-04-08_18-28-12-142Z,0.4800,0.2400,0.0000,0.4089,0.0000,1.1739,675,338,18,18,18,18,18,18,1.000,false
Mid,15,2026-04-08_18-41-35-308Z,0.5215,0.2607,0.0000,0.4444,0.0000,1.1733,675,338,15,14,15,15,3,15,1.000,false
Mid,14,2026-04-08_20-00-15-040Z,0.5689,0.2844,0.0000,0.4119,0.0000,1.3813,675,338,14,14,14,14,14,14,1.000,false
Mid,15,2026-04-19_11-47-09-582Z,0.4296,0.1611,0.0000,0.4504,0.0000,0.9539,675,338,15,15,15,15,11,15,1.000,false
Mid,18,2026-04-19_14-55-07-474Z,0.4859,0.2430,0.0000,0.4030,0.0000,1.2059,675,338,18,18,18,18,17,18,1.000,false
Mid,18,2026-04-19_19-42-17-872Z,0.2993,0.1496,0.0000,0.2726,0.0000,1.0978,675,338,18,11,18,18,4,18,0.938,false
Mid,15,2026-04-21_06-16-35-545Z,0.4178,0.1567,0.0000,0.4207,0.0000,0.9930,675,338,15,15,15,15,14,15,1.000,false
Mid,14,2026-04-21_06-20-54-220Z,0.3289,0.1233,0.0000,0.2489,0.0000,1.3214,675,338,14,14,14,14,14,14,0.947,false
Mid,18,2026-04-22_07-13-50-403Z,0.3407,0.1278,0.0000,0.2578,0.0000,1.3218,675,338,18,18,36,18,15,18,0.000,true
Mid,17,2026-04-24_10-49-42-902Z,0.5037,0.2519,0.0000,0.3348,0.0000,1.5044,675,338,17,17,17,17,17,17,1.000,false
Large,21,2026-04-08_18-30-50-993Z,0.4474,0.2237,0.0000,0.4741,0.0000,0.9437,675,338,21,21,21,21,21,21,1.000,false
Large,24,2026-04-08_18-34-56-184Z,0.6281,0.3141,0.0000,0.6044,0.0000,1.0392,675,338,24,24,24,12,24,24,1.000,false
Large,28,2026-04-08_18-38-08-065Z,0.7170,0.2689,0.0000,0.6756,0.0000,1.0614,675,338,28,28,28,28,24,28,1.000,false
Large,24,2026-04-19_15-00-49-192Z,0.3911,0.1956,0.0000,0.4207,0.0000,0.9296,675,338,24,24,24,24,23,24,1.000,false
Large,21,2026-04-19_15-34-25-108Z,0.4148,0.1556,0.0000,0.3437,0.0000,1.2069,675,338,21,21,21,21,14,21,0.695,false
Large,28,2026-04-19_15-38-37-106Z,0.4415,0.2207,0.0000,0.5156,0.0000,0.8563,675,338,10,12,10,15,3,10,0.000,true
Large,24,2026-04-20_16-26-12-721Z,0.2222,0.1111,0.0000,0.2519,0.0000,0.8824,675,338,11,11,27,27,4,27,0.000,true
Large,28,2026-04-20_16-35-00-142Z,0.7526,0.2822,0.0000,0.4148,0.0000,1.8143,675,338,10,10,12,11,3,0,0.000,false
Large,21,2026-04-21_06-09-20-021Z,0.2963,0.1111,0.0000,0.1926,0.0000,1.5385,675,338,19,11,19,11,11,19,0.000,true
Large,24,2026-04-22_07-06-35-244Z,0.6489,0.3244,0.0000,0.3407,0.0000,1.9043,675,338,10,10,14,24,4,24,0.331,false
Large,28,2026-04-22_19-24-58-121Z,0.7556,0.2833,0.0000,0.5926,0.0000,1.2750,675,338,10,10,10,20,4,20,0.383,false
Large,21,2026-04-23_07-21-34-334Z,0.1244,0.0467,0.0000,0.1363,0.0000,0.9130,675,338,10,12,44,15,1,44,0.000,true
XL,42,2026-04-24_10-54-55-930Z,0.5126,0.2563,0.0000,0.4711,0.0000,1.0881,675,338,40,13,12,14,14,40,0.000,true
XL,36,2026-04-25_08-45-07-271Z,0.2667,0.1333,0.0000,0.3822,0.0000,0.6977,675,338,11,37,20,11,35,37,0.000,true
XL,51,2026-04-25_09-03-13-830Z,0.3704,0.1852,0.0000,0.2548,0.0000,1.4535,675,338,10,11,14,26,4,0,0.000,true
XL,52,2026-04-26_08-54-51-262Z,0.2163,0.1081,0.0000,0.2074,0.0000,1.0429,675,338,28,28,28,15,28,28,0.000,true
XL,42,2026-04-28_06-52-14-899Z,0.5807,0.2178,0.0000,0.3200,0.0000,1.8148,675,338,11,10,10,15,1,10,0.292,false
XL,52,2026-04-28_06-58-55-390Z,0.5215,0.1956,0.0000,0.4504,0.0000,1.1579,675,338,53,12,12,26,18,53,0.000,true
XL,34,2026-04-28_14-18-32-698Z,0.7170,0.3585,0.0000,0.4207,0.0000,1.7042,675,338,11,12,40,24,10,40,0.000,true
XL,42,2026-04-28_18-34-58-887Z,0.7556,0.3778,0.0000,0.6104,0.0000,1.2379,675,338,12,10,12,10,4,12,0.112,false
XL,52,2026-04-29_05-37-44-380Z,0.6163,0.3081,0.0000,0.4415,0.0000,1.3960,675,338,10,10,10,11,1,0,0.000,false
XL,42,2026-04-30_05-37-41-094Z,0.7230,0.3615,0.0000,0.4711,0.0000,1.5346,675,338,10,11,10,10,4,0,0.000,false
XL,34,2026-04-30_10-09-16-909Z,0.8030,0.4015,0.0000,0.3467,0.0000,2.3162,675,338,13,13,11,12,6,11,0.441,false
XL,34,2026-04-30_10-14-55-670Z,0.4119,0.2059,0.0000,0.2459,0.0000,1.6747,675,338,11,10,11,24,5,11,0.000,true
XL,34,2026-04-30_10-17-13-321Z,0.5185,0.2593,0.0000,0.4919,0.0000,1.0542,675,338,34,34,11,12,34,34,0.900,false
XL,36,2026-04-30_10-19-29-950Z,0.4474,0.2237,0.0000,0.3822,0.0000,1.1705,675,338,32,36,10,22,36,36,1.000,false
XL,32,2026-04-30_11-41-12-489Z,0.6963,0.3481,0.0000,0.5126,0.0000,1.3584,675,338,13,32,14,16,32,32,0.934,false
XL,32,2026-04-30_11-42-53-294Z,0.8444,0.4222,0.0000,0.4800,0.0000,1.7593,675,338,11,32,11,16,32,32,1.000,false
XL,50,2026-04-30_12-31-00-766Z,0.5363,0.2681,0.0000,0.5215,0.0000,1.0284,675,338,51,50,10,13,50,50,0.520,false
XL,48,2026-04-30_12-33-17-234Z,0.8474,0.4237,0.0000,0.5007,0.0000,1.6923,675,338,10,48,10,14,48,48,1.000,false
XL,48,2026-04-30_12-35-25-332Z,0.7319,0.3659,0.0000,0.5244,0.0000,1.3955,675,338,10,48,10,10,47,48,0.572,false
XL,50,2026-04-30_20-09-43-249Z,0.8296,0.4148,0.0000,0.3704,0.0000,2.2400,675,338,13,10,16,10,10,16,0.252,false
XL,52,2026-05-01_08-24-07-480Z,0.4059,0.2030,0.0000,0.5511,0.0000,0.7366,675,338,11,15,13,10,1,13,0.434,false
XL,50,2026-05-01_08-31-05-858Z,0.3733,0.1867,0.0000,0.5452,0.0000,0.6848,675,338,11,50,48,15,48,50,0.000,true
XL,48,2026-05-01_09-04-04-917Z,0.5393,0.2696,0.0000,0.5333,0.0000,1.0111,675,338,48,49,10,24,48,49,0.688,false
XL,36,2026-05-01_09-09-26-510Z,0.5600,0.2800,0.0000,0.4504,0.0000,1.2434,675,338,39,34,38,38,36,34,0.000,true
XL,48,2026-05-01_15-00-55-239Z,0.9304,0.4652,0.0000,0.5363,0.0000,1.7348,675,338,13,48,13,15,48,48,1.000,false
XL,50,2026-05-01_15-08-23-136Z,0.5304,0.2652,0.0000,0.5215,0.0000,1.0170,675,338,50,50,50,24,49,50,1.000,false
XL,36,2026-05-01_15-30-10-941Z,0.5244,0.2622,0.0000,0.3526,0.0000,1.4874,675,338,36,36,36,36,36,36,0.866,false
