class,actual,stamp,w,h,aimR,anchorCx,anchorCy,peakR,rOuter,gearR,peakTc,bcTc,fft90,opTc,bcPeaks,tc,conf,innerSus,tcConsensus,outer_over_aimR_imputed,bolt_fired,bolt_bestN,bolt_matched,bolt_rogue,bolt_residual,bolt_rBpAim,bolt_phase0,bolt_strength,bolt_nPeaks,bolt_shortCircuit,ms_cost,predicateOutcome
Mid,15,2026-04-04_09-09-24-950Z,675,900,337.5,337.0,449.5,147,123,0.2178,15,15,15,15,14,15,1.000,false,15,0.364,true,4,10,1,0.2793,0.6904,0.9506,48.32,11,,99,ABSTAIN
Mid,14,2026-04-04_09-09-54-631Z,675,900,337.5,337.0,449.5,111,87,0.1644,14,14,14,14,14,14,1.000,false,14,0.258,false,6,9,4,0.1397,0.4889,0.5244,83.07,13,,84,unchanged
Small,13,2026-04-04_09-10-20-407Z,675,900,337.5,337.0,449.5,183,91,0.2711,11,13,17,17,12,13,0.000,true,17,0.270,false,6,12,3,0.1663,0.6785,0.2934,75.70,15,,79,unchanged
Small,11,2026-04-04_09-10-51-656Z,900,675,337.5,449.5,337.0,273,302,0.3033,12,11,12,10,17,17,0.121,false,17,0.895,false,6,16,4,0.1571,0.4948,0.7130,165.12,20,,95,unchanged
Mid,14,2026-04-05_08-25-39-887Z,900,675,337.5,449.5,337.0,163,101,0.1811,14,14,14,14,13,14,1.000,false,14,0.299,true,5,8,1,0.1309,0.7556,0.2196,69.48,9,,87,ABSTAIN
Small,13,2026-04-05_08-31-34-725Z,675,900,337.5,337.0,449.5,169,84,0.2504,10,13,17,10,14,0,0.000,false,17,0.249,false,6,12,3,0.1483,0.6963,0.3669,81.94,15,,79,unchanged
Small,11,2026-04-05_08-32-48-875Z,675,900,337.5,337.0,449.5,89,80,0.1319,11,10,17,10,12,11,0.000,true,17,0.237,false,5,14,4,0.1608,0.4889,0.5497,123.82,18,,101,unchanged
Small,11,2026-04-05_08-33-27-869Z,675,900,337.5,337.0,449.5,87,104,0.1289,11,11,34,16,9,11,0.000,true,34,0.308,false,4,13,4,0.2075,0.7674,1.1072,62.19,17,,102,unchanged
Small,11,2026-04-05_08-34-06-051Z,675,900,337.5,337.0,449.5,196,79,0.2904,14,11,28,11,11,11,0.000,true,28,0.234,false,5,15,5,0.2225,0.6489,0.8162,76.12,20,,80,unchanged
Small,13,2026-04-05_14-39-43-491Z,675,900,337.5,337.0,449.5,218,99,0.3230,14,13,19,13,13,13,1.000,false,19,0.293,false,5,15,3,0.2033,0.7615,1.1396,89.08,18,,83,unchanged
Small,11,2026-04-05_14-40-38-072Z,675,900,337.5,337.0,449.5,297,109,0.4400,18,11,36,12,13,11,0.000,true,36,0.323,false,4,13,3,0.2149,0.7674,0.4308,95.44,16,,95,unchanged
Small,11,2026-04-05_20-05-36-867Z,900,675,337.5,449.5,337.0,90,74,0.1000,11,10,11,11,24,11,0.000,true,24,0.219,false,6,16,6,0.1593,0.6726,0.9085,76.06,22,,85,unchanged
Small,13,2026-04-05_20-11-19-230Z,900,675,337.5,449.5,337.0,129,100,0.1433,13,13,13,13,13,13,1.000,false,13,0.296,false,6,12,2,0.1629,0.6667,0.1748,64.18,14,,87,unchanged
Small,11,2026-04-06_10-01-25-781Z,900,675,337.5,449.5,337.0,186,155,0.2067,11,11,36,22,13,11,0.000,true,36,0.459,false,5,15,4,0.1853,0.7496,0.6501,129.26,19,,120,unchanged
Mid,18,2026-04-08_18-28-12-142Z,675,900,337.5,337.0,449.5,162,138,0.2400,18,18,18,18,18,18,1.000,false,18,0.409,false,6,12,4,0.1320,0.7793,0.0630,46.80,16,,83,unchanged
Large,21,2026-04-08_18-30-50-993Z,675,900,337.5,337.0,449.5,151,160,0.2237,21,21,21,21,21,21,1.000,false,21,0.474,false,4,13,3,0.2233,0.6489,1.0525,71.48,16,,94,unchanged
Large,24,2026-04-08_18-34-56-184Z,675,900,337.5,337.0,449.5,212,204,0.3141,24,24,24,12,24,24,1.000,false,24,0.604,true,5,9,1,0.1864,0.5185,0.3124,780.13,10,,87,ABSTAIN
Large,28,2026-04-08_18-38-08-065Z,900,675,337.5,449.5,337.0,242,228,0.2689,28,28,28,28,24,28,1.000,false,28,0.676,false,4,11,3,0.2170,0.5363,0.4409,654.99,14,,79,unchanged
Mid,15,2026-04-08_18-41-35-308Z,675,900,337.5,337.0,449.5,176,150,0.2607,15,14,15,15,3,15,1.000,false,15,0.444,true,5,9,0,0.2032,0.7556,1.2352,58.87,9,,82,ABSTAIN
Mid,14,2026-04-08_20-00-15-040Z,675,900,337.5,337.0,449.5,192,139,0.2844,14,14,14,14,14,14,1.000,false,14,0.412,false,6,15,5,0.1679,0.8148,1.0076,85.17,20,,85,unchanged
Small,11,2026-04-19_11-32-11-962Z,675,900,337.5,337.0,449.5,112,102,0.1659,11,11,22,11,18,11,0.000,true,22,0.302,false,6,11,3,0.1096,0.7970,0.7269,21.48,14,,144,unchanged
Small,11,2026-04-19_11-33-29-608Z,900,675,337.5,449.5,337.0,108,102,0.1200,11,11,10,11,16,11,0.000,true,16,0.302,false,5,11,4,0.1623,0.5896,0.9060,20.55,15,,86,unchanged
Mid,15,2026-04-19_11-47-09-582Z,900,675,337.5,449.5,337.0,145,152,0.1611,15,15,15,15,11,15,1.000,false,15,0.450,false,4,14,4,0.2103,0.7200,1.4894,17.23,18,,91,unchanged
Mid,18,2026-04-19_14-55-07-474Z,675,900,337.5,337.0,449.5,164,136,0.2430,18,18,18,18,17,18,1.000,false,18,0.403,true,4,8,0,0.2234,0.4059,0.0035,375.51,8,,79,ABSTAIN
Large,24,2026-04-19_15-00-49-192Z,675,900,337.5,337.0,449.5,132,142,0.1956,24,24,24,24,23,24,1.000,false,24,0.421,true,6,8,0,0.1571,0.4000,0.7224,349.08,8,,87,ABSTAIN
Large,21,2026-04-19_15-34-25-108Z,900,675,337.5,449.5,337.0,140,116,0.1556,21,21,21,21,14,21,0.695,false,21,0.344,false,6,10,2,0.1710,0.6548,0.2825,18.85,12,,82,unchanged
Large,28,2026-04-19_15-38-37-106Z,675,900,337.5,337.0,449.5,149,174,0.2207,10,12,10,15,3,10,0.000,true,15,0.516,true,4,9,1,0.2569,0.6133,1.1085,22.86,10,,85,ABSTAIN
Mid,18,2026-04-19_19-42-17-872Z,675,900,337.5,337.0,449.5,101,92,0.1496,18,11,18,18,4,18,0.938,false,18,0.273,false,4,11,4,0.2255,0.7970,1.2198,8.97,15,,95,unchanged
Small,11,2026-04-19_20-32-41-522Z,675,900,337.5,337.0,449.5,166,97,0.2459,13,10,12,11,12,12,0.000,true,13,0.287,false,4,12,2,0.2880,0.4533,0.5290,17.21,14,,81,unchanged
Large,24,2026-04-20_16-26-12-721Z,675,900,337.5,337.0,449.5,75,85,0.1111,11,11,27,27,4,27,0.000,true,27,0.252,true,4,7,0,0.2026,0.4000,0.5454,379.04,7,,88,ABSTAIN
Large,28,2026-04-20_16-35-00-142Z,900,675,337.5,449.5,337.0,254,140,0.2822,10,10,12,11,3,0,0.000,false,12,0.415,true,4,8,1,0.2600,0.4237,0.6179,172.71,9,,98,ABSTAIN
Large,21,2026-04-21_06-09-20-021Z,900,675,337.5,449.5,337.0,100,65,0.1111,19,11,19,11,11,19,0.000,true,19,0.193,true,6,9,1,0.1729,0.7733,0.6140,23.67,10,,90,ABSTAIN
Mid,15,2026-04-21_06-16-35-545Z,900,675,337.5,449.5,337.0,141,142,0.1567,15,15,15,15,14,15,1.000,false,15,0.421,false,6,12,2,0.1673,0.6430,0.4456,28.63,14,,83,unchanged
Mid,14,2026-04-21_06-20-54-220Z,900,675,337.5,449.5,337.0,111,84,0.1233,14,14,14,14,14,14,0.947,false,14,0.249,false,4,9,2,0.1941,0.7674,0.1410,26.01,11,,92,unchanged
Small,11,2026-04-21_19-02-17-555Z,675,900,337.5,337.0,449.5,107,79,0.1585,11,11,13,11,21,11,0.000,true,21,0.234,false,5,13,6,0.1928,0.7496,1.0198,18.96,19,,81,unchanged
Large,24,2026-04-22_07-06-35-244Z,675,900,337.5,337.0,449.5,219,115,0.3244,10,10,14,24,4,24,0.331,false,24,0.341,false,4,12,2,0.2167,0.6548,0.4802,16.73,14,,86,unchanged
Mid,18,2026-04-22_07-13-50-403Z,900,675,337.5,449.5,337.0,115,87,0.1278,18,18,36,18,15,18,0.000,true,36,0.258,false,5,14,3,0.1789,0.5541,0.0917,16.76,17,,102,unchanged
Small,11,2026-04-22_07-27-06-532Z,675,900,337.5,337.0,449.5,104,84,0.1541,11,10,22,11,12,11,0.805,false,22,0.249,false,5,14,6,0.1496,0.6726,0.4779,14.04,20,,100,unchanged
Small,11,2026-04-22_18-55-06-131Z,675,900,337.5,337.0,449.5,107,87,0.1585,11,11,20,11,10,11,0.000,true,20,0.258,false,6,16,5,0.1610,0.6607,0.1081,15.44,21,,83,unchanged
Large,28,2026-04-22_19-24-58-121Z,900,675,337.5,449.5,337.0,255,200,0.2833,10,10,10,20,4,20,0.383,false,20,0.593,true,6,10,1,0.1710,0.6844,0.0269,24.82,11,,83,ABSTAIN
Large,21,2026-04-23_07-21-34-334Z,900,675,337.5,449.5,337.0,42,46,0.0467,10,12,44,15,1,44,0.000,true,44,0.136,false,NaN,0,0,,,,0.00,0,gearR<0.10,0,unchanged
Mid,17,2026-04-24_10-49-42-902Z,675,900,337.5,337.0,449.5,170,113,0.2519,17,17,17,17,17,17,1.000,false,17,0.335,false,6,15,5,0.1542,0.7200,0.7943,25.48,20,,85,unchanged
XL,42,2026-04-24_10-54-55-930Z,675,900,337.5,337.0,449.5,173,159,0.2563,40,13,12,14,14,40,0.000,true,40,0.471,true,6,6,0,0.1280,0.6963,0.5202,409.12,6,,86,PROMOTE
Small,11,2026-04-25_08-03-37-711Z,675,900,337.5,337.0,449.5,118,45,0.1748,10,13,10,11,9,11,0.000,true,13,0.133,false,5,10,2,0.2059,0.7556,1.0642,19.18,12,,100,unchanged
XL,36,2026-04-25_08-45-07-271Z,675,900,337.5,337.0,449.5,90,129,0.1333,11,37,20,11,35,37,0.000,true,37,0.382,true,6,9,1,0.1389,0.4000,0.1114,232.86,10,,83,PROMOTE
XL,51,2026-04-25_09-03-13-830Z,675,900,337.5,337.0,449.5,125,86,0.1852,10,11,14,26,4,0,0.000,true,26,0.255,true,4,8,0,0.2164,0.4237,1.5429,352.38,8,,115,ABSTAIN
