class,actual,stamp,peakR,bcCx,bcCy,anchorCx,anchorCy,tc,conf,innerSus,narrow_cv,narrow_iqr,narrow_bim,tight_cv,tight_iqr,tight_bim,narrow_n,tight_n
Small,13,2026-04-04_09-10-20-407Z,183,0,0,337.0,449.5,13,0.000,true,0.2268,0.0473,0.5139,0.2446,0.0522,0.5651,53420,38156
Small,11,2026-04-04_09-10-51-656Z,273,0,0,449.5,337.0,17,0.121,false,0.0478,0.0518,0.1010,0.0392,0.0487,0.0909,118812,84888
Small,13,2026-04-05_08-31-34-725Z,169,0,0,337.0,449.5,0,0.000,false,0.2143,0.1060,0.5039,0.2121,0.1085,0.4952,45558,32542
Small,13,2026-04-05_14-39-43-491Z,218,0,0,337.0,449.5,13,1.000,false,0.2042,0.0799,0.4292,0.2093,0.0913,0.4419,75748,54124
Small,13,2026-04-05_20-11-19-230Z,129,0,0,449.5,337.0,13,1.000,false,0.1960,0.0421,0.3401,0.1941,0.0425,0.3277,26554,18970
Small,11,2026-04-06_10-01-25-781Z,186,0,0,449.5,337.0,11,0.000,true,0.3214,0.4628,0.7206,0.3211,0.4590,0.7264,55162,39396
Small,11,2026-04-19_20-32-41-522Z,166,0,0,337.0,449.5,12,0.000,true,0.1021,0.0772,0.1345,0.1091,0.0775,0.1432,43912,31362
Small,11,2026-04-22_07-27-06-532Z,104,0,0,337.0,449.5,11,0.805,false,0.1860,0.0571,0.1543,0.1854,0.0571,0.1102,17234,12324
Small,12,2026-04-29_05-18-37-310Z,166,0,0,337.0,449.5,12,1.000,false,0.2942,0.1084,0.7264,0.2925,0.1123,0.7205,43912,31362
Small,12,2026-04-30_05-41-00-183Z,161,0,0,337.0,449.5,12,1.000,false,0.2460,0.0596,0.5850,0.2429,0.0534,0.5698,41336,29516
Mid,15,2026-04-04_09-09-24-950Z,147,0,0,337.0,449.5,15,1.000,false,0.3113,0.2066,0.6911,0.3017,0.1903,0.6641,34454,24598
Mid,14,2026-04-04_09-09-54-631Z,111,0,0,337.0,449.5,14,1.000,false,0.1559,0.0474,0.2962,0.1507,0.0473,0.2725,19634,14014
Mid,14,2026-04-05_08-25-39-887Z,163,0,0,449.5,337.0,14,1.000,false,0.2027,0.0712,0.3681,0.1976,0.0664,0.3515,42338,30270
Mid,18,2026-04-08_18-28-12-142Z,162,0,0,337.0,449.5,18,1.000,false,0.1804,0.0844,0.3726,0.1751,0.0736,0.3571,41826,29910
Mid,15,2026-04-08_18-41-35-308Z,176,0,0,337.0,449.5,15,1.000,false,0.2446,0.1241,0.5251,0.2435,0.1133,0.5082,49402,35276
Mid,14,2026-04-08_20-00-15-040Z,192,0,0,337.0,449.5,14,1.000,false,0.2277,0.2055,0.5220,0.2307,0.1964,0.5275,58762,41988
Mid,15,2026-04-19_11-47-09-582Z,145,0,0,449.5,337.0,15,1.000,false,0.1828,0.0598,0.3669,0.1744,0.0584,0.3458,33502,23960
Mid,18,2026-04-19_14-55-07-474Z,164,0,0,337.0,449.5,18,1.000,false,0.2124,0.1411,0.5150,0.2128,0.1510,0.5181,42888,30634
Mid,18,2026-04-19_19-42-17-872Z,101,0,0,337.0,449.5,18,0.938,false,0.1330,0.0934,0.3011,0.1369,0.0936,0.3154,16246,11586
Mid,15,2026-04-21_06-16-35-545Z,141,0,0,449.5,337.0,15,1.000,false,0.2552,0.1133,0.6297,0.2479,0.1085,0.6040,31682,22618
