stamp,source,build,klass,actual,tc,conf,peak,fft90,op,bc,bcPk,peakR,aimR,pkOverAim,rOuterAim_widest,gOuterAim,gNoise,snrWidest,disagreePxWidest,polarMs,method
2026-04-25_07-56-26-889Z,training,b97,Large,21,21,1.000,0,13,16,21,21,0,338,0.000,0,0.00,0.00,-,0,70,"bc-consensus"
2026-04-25_07-58-59-154Z,training,b97,XL,42,42,0.000,10,10,10,42,39,322,338,0.954,277,5.49,4.09,1.345,45,87,"bc-fft"
2026-04-25_08-03-37-711Z,training,b97,Small,11,10,0.000,0,10,11,13,9,0,338,0.000,0,0.00,0.00,-,0,86,"fft90-fallback"
2026-04-25_08-05-45-433Z,training,b97,XL,42,42,0.310,10,10,10,42,41,331,338,0.981,363,6.76,3.70,1.829,32,67,"bc-consensus+pap1059-chainring-tc-confirmed"
2026-04-25_08-45-07-271Z,training,b97,XL,36,37,0.000,10,20,11,37,35,304,338,0.901,314,8.41,9.93,0.846,10,69,"bc-consensus"
2026-04-25_09-03-13-830Z,training,b97,XL,51,14,0.045,0,14,26,11,4,0,338,0.000,0,0.00,0.00,-,0,64,"fft90-fallback"
2026-04-26_08-54-51-262Z,training,b98,XL,52,28,0.678,0,28,15,28,28,0,338,0.000,0,0.00,0.00,-,0,71,"bc-consensus"
2026-04-27_07-56-37-377Z,training,b100,XL,42,42,0.054,0,41,20,42,34,0,338,0.000,294,5.74,5.36,1.072,294,63,"bc-peaks"
2026-04-27_07-59-59-093Z,training,b100,XL,42,20,0.000,10,20,10,43,37,286,338,0.847,297,6.11,4.24,1.439,11,62,"fft90-fallback"
2026-04-27_13-21-00-705Z,training,b102,XL,52,0,0.000,10,10,15,11,12,331,338,0.981,0,0.00,0.00,-,0,68,"fft-agreement+pap474-abstain"
2026-04-27_13-24-12-798Z,training,b102,XL,52,0,0.000,10,10,10,11,15,304,338,0.901,0,0.00,0.00,-,0,69,"low-conf-consensus+pap474-abstain"
2026-04-27_13-27-43-775Z,training,b102,XL,52,0,0.000,10,10,10,12,12,322,338,0.954,0,0.00,0.00,-,0,63,"fft-agreement+pap474-abstain"
2026-04-28_06-50-20-391Z,training,b105,XL,42,11,0.359,11,10,12,10,1,295,338,0.874,0,0.00,0.00,-,0,82,"low-conf-consensus"
2026-04-28_06-52-14-899Z,training,b105,XL,42,10,0.075,0,10,15,10,1,0,338,0.000,0,0.00,0.00,-,0,74,"fft90-fallback"
2026-04-28_06-54-24-694Z,training,b105,XL,42,0,0.000,10,10,12,10,2,286,338,0.847,0,0.00,0.00,-,0,66,"fft90-fallback+pap474-abstain"
2026-04-28_06-56-36-143Z,training,b105,XL,52,11,0.156,0,11,10,11,10,0,338,0.000,0,0.00,0.00,-,0,71,"bc-consensus"
2026-04-28_06-58-55-390Z,training,b105,XL,52,0,0.000,10,12,26,12,18,313,338,0.927,0,0.00,0.00,-,0,67,"fft90-fallback+pap632-fft-floor-abstain"
2026-04-28_07-01-23-211Z,training,b105,XL,52,0,0.000,10,10,13,10,3,286,338,0.847,0,0.00,0.00,-,0,62,"fft90-fallback+pap474-abstain"
2026-04-28_07-03-25-120Z,training,b105,XL,42,0,0.000,10,10,13,10,3,304,338,0.901,0,0.00,0.00,-,0,64,"fft-agreement+pap474-abstain"
2026-04-28_11-25-03-709Z,training,b106,XL,42,42,1.000,10,10,18,42,41,322,338,0.954,286,7.16,15.32,0.467,36,69,"bc-consensus+pap1059-chainring-tc-confirmed"
2026-04-28_11-42-46-509Z,training,b106,XL,42,42,0.697,13,13,20,42,42,331,338,0.981,0,0.00,0.00,-,0,66,"bc-consensus+pap1059-chainring-tc-confirmed"
2026-04-28_14-00-29-906Z,training,b107,XL,42,13,0.000,12,10,14,10,13,286,338,0.847,0,0.00,0.00,-,0,69,"low-conf-consensus"
2026-04-28_14-18-32-698Z,training,b107,XL,34,40,0.000,0,40,24,12,10,0,338,0.000,324,6.24,35.63,0.175,324,65,"fft90-fallback"
2026-04-28_14-33-47-405Z,training,b107,Small,11,11,1.000,11,12,15,11,11,313,338,0.927,0,0.00,0.00,-,0,76,"bc-consensus"
2026-04-28_14-36-56-005Z,training,b107,Mid,18,18,0.000,14,40,16,18,18,331,338,0.981,297,1.83,9.46,0.194,34,65,"bc-consensus"
2026-04-28_18-27-23-983Z,training,b107,XL,52,10,0.106,0,10,14,11,4,0,338,0.000,0,0.00,0.00,-,0,64,"fft90-fallback"
