stamp,actual,bcTc,bcPeaks,current_tc,current_disposition,alpha_committed,beta_fires,beta_commit_tc,beta_commit_delta,beta_outcome,downstream_abstain_after_beta,downstream_pap961,downstream_radiusSanity
2026-04-25_08-05-45-433Z,42,42,41,42,correct,false,true,42,0,no_change_correct,false,false,false
2026-04-25_08-45-07-271Z,36,37,35,37,correct,false,true,37,1,no_change_correct,false,false,false
2026-04-28_11-25-03-709Z,42,42,41,42,correct,false,true,42,0,no_change_correct,false,false,false
2026-04-28_11-42-46-509Z,42,42,42,42,correct,false,true,42,0,no_change_correct,false,false,false
2026-04-30_10-17-13-321Z,34,34,34,34,correct,false,false,,,no_change_correct,false,false,false
2026-04-30_10-19-29-950Z,36,36,36,36,correct,false,true,36,0,no_change_correct,false,false,false
2026-04-30_10-23-20-845Z,36,36,35,36,correct,false,true,36,0,no_change_correct,false,false,false
2026-04-30_11-41-12-489Z,32,32,32,32,correct,false,false,,,no_change_correct,false,false,false
2026-04-30_11-42-53-294Z,32,32,32,32,correct,false,false,,,no_change_correct,false,false,false
2026-04-30_12-31-00-766Z,50,50,50,50,correct,false,true,50,0,no_change_correct,false,false,false
2026-04-30_12-33-17-234Z,48,48,48,48,correct,false,true,48,0,no_change_correct,false,false,false
2026-04-30_12-35-25-332Z,48,48,47,48,correct,false,true,48,0,no_change_correct,false,false,false
2026-04-30_20-31-06-904Z,48,48,48,48,correct,false,true,48,0,no_change_correct,false,false,false
2026-05-01_08-28-38-224Z,50,50,50,50,correct,false,true,50,0,no_change_correct,false,false,false
2026-05-01_09-04-04-917Z,48,49,48,49,correct,false,true,49,1,no_change_correct,false,false,false
2026-05-01_15-00-55-239Z,48,48,48,48,correct,false,true,48,0,no_change_correct,false,false,false
2026-05-01_15-04-02-875Z,48,47,48,47,correct,false,true,47,1,no_change_correct,false,false,false
2026-05-01_15-20-31-778Z,52,53,51,53,correct,false,true,53,1,no_change_correct,false,false,false
2026-05-04_11-33-56-211Z,42,43,41,43,correct,false,true,43,1,no_change_correct,false,false,false
