cell_idx,R_lo,R_hi,sigma_R,eps_abs,eps_floor,extremeR,gamma_bc,option_beta,ac2_N,ac2_LOSS,ac2_eliminated,ac2_first_loss_stamp,ac1_N,ac1_recovered,ac1_wilson_ub_pct,b6_rescue,b6_regress_correct_to_CW,b6_regress_abstain_to_CW,b6_regress_CW_worse_delta,b6_no_change_correct,b6_no_change_CW_same_or_better,alpha_commits,beta_fires,elapsed_ms
0,0.35,1.05,0.15,0.015,0.06,0,1,0,41,1,1,2026-04-24_07-16-06-580Z,0,0,0,0,0,0,0,28,6,0,0,18
1,0.35,1.05,0.15,0.015,0.06,0,1,1,41,1,1,2026-04-24_07-16-06-580Z,0,0,0,0,0,0,0,28,6,0,0,12
2,0.35,1.05,0.15,0.015,0.06,0,1.3,0,41,1,1,2026-04-24_07-16-06-580Z,0,0,0,0,0,0,0,28,6,0,0,13
3,0.35,1.05,0.15,0.015,0.06,0,1.3,1,41,1,1,2026-04-24_07-16-06-580Z,0,0,0,0,0,0,0,28,6,0,0,13
0,0.35,1.05,0.15,0.015,0.06,0,1,0,362,1,1,2026-04-04_09-09-54-631Z,0,0,0,0,0,0,0,2,0,0,0,2
1,0.35,1.05,0.15,0.015,0.06,0,1,1,362,1,1,2026-04-04_09-09-54-631Z,0,0,0,0,0,0,0,2,0,0,0,2
2,0.35,1.05,0.15,0.015,0.06,0,1.3,0,362,1,1,2026-04-04_09-09-54-631Z,0,0,0,0,0,0,0,2,0,0,0,1
3,0.35,1.05,0.15,0.015,0.06,0,1.3,1,362,1,1,2026-04-04_09-09-54-631Z,0,0,0,0,0,0,0,2,0,0,0,2
4,0.35,1.05,0.15,0.015,0.06,0,1.6,0,362,1,1,2026-04-04_09-09-54-631Z,0,0,0,0,0,0,0,2,0,0,0,1
5,0.35,1.05,0.15,0.015,0.06,0,1.6,1,362,1,1,2026-04-04_09-09-54-631Z,0,0,0,0,0,0,0,2,0,0,0,2
6,0.35,1.05,0.15,0.015,0.06,0,2,0,362,1,1,2026-04-04_09-09-54-631Z,0,0,0,0,0,0,0,2,0,0,0,1
7,0.35,1.05,0.15,0.015,0.06,0,2,1,362,1,1,2026-04-04_09-09-54-631Z,0,0,0,0,0,0,0,2,0,0,0,2
8,0.35,1.05,0.15,0.015,0.06,1,1,0,362,1,1,2026-04-04_09-09-54-631Z,0,0,0,0,0,0,0,2,0,0,0,1
9,0.35,1.05,0.15,0.015,0.06,1,1,1,362,1,1,2026-04-04_09-09-54-631Z,0,0,0,0,0,0,0,2,0,0,0,2
10,0.35,1.05,0.15,0.015,0.06,1,1.3,0,362,1,1,2026-04-04_09-09-54-631Z,0,0,0,0,0,0,0,2,0,0,0,1
11,0.35,1.05,0.15,0.015,0.06,1,1.3,1,362,1,1,2026-04-04_09-09-54-631Z,0,0,0,0,0,0,0,2,0,0,0,1
