event_id,ts,category,torchProp,hasTorch,selectedWideAngle,wideAngleHasTorch,mainHasTorch,wideAngleFailed,captureFlash,deviceId
0959928d,2026-05-19T14:02:41.813000Z,camera.torch,on,true,true,true,true,,,0
0959928d,2026-05-19T14:02:50.684000Z,camera.capture,on,true,,,,,on,0
0959928d,2026-05-19T14:30:58.443000Z,camera.torch,on,true,true,true,true,,,0
0959928d,2026-05-19T14:31:03.514000Z,camera.capture,on,true,,,,,on,0
d6b831de,2026-05-19T14:02:41.813000Z,camera.torch,on,true,true,true,true,,,0
d6b831de,2026-05-19T14:02:50.684000Z,camera.capture,on,true,,,,,on,0
5b3a13d8,2026-05-19T10:33:11.903000Z,camera.torch,on,true,true,true,true,,,0
5b3a13d8,2026-05-19T10:33:19.391000Z,camera.capture,on,true,,,,,on,0
5b3a13d8,2026-05-19T10:34:57.747000Z,camera.torch,on,true,true,true,true,,,0
5b3a13d8,2026-05-19T10:35:05.036000Z,camera.capture,on,true,,,,,on,0
5b3a13d8,2026-05-19T10:37:12.491000Z,camera.torch,on,true,true,true,true,,,0
5b3a13d8,2026-05-19T10:37:17.337000Z,camera.capture,on,true,,,,,on,0
5b3a13d8,2026-05-19T10:39:24.103000Z,camera.torch,on,true,true,true,true,,,0
5b3a13d8,2026-05-19T10:39:33.285000Z,camera.capture,on,true,,,,,on,0
3219e927,2026-05-19T10:33:11.903000Z,camera.torch,on,true,true,true,true,,,0
3219e927,2026-05-19T10:33:19.391000Z,camera.capture,on,true,,,,,on,0
3219e927,2026-05-19T10:34:57.747000Z,camera.torch,on,true,true,true,true,,,0
3219e927,2026-05-19T10:35:05.036000Z,camera.capture,on,true,,,,,on,0
3219e927,2026-05-19T10:37:12.491000Z,camera.torch,on,true,true,true,true,,,0
3219e927,2026-05-19T10:37:17.337000Z,camera.capture,on,true,,,,,on,0
dd25a498,2026-05-19T10:33:11.903000Z,camera.torch,on,true,true,true,true,,,0
dd25a498,2026-05-19T10:33:19.391000Z,camera.capture,on,true,,,,,on,0
dd25a498,2026-05-19T10:34:57.747000Z,camera.torch,on,true,true,true,true,,,0
dd25a498,2026-05-19T10:35:05.036000Z,camera.capture,on,true,,,,,on,0
01fdccfd,2026-05-19T10:33:11.903000Z,camera.torch,on,true,true,true,true,,,0
01fdccfd,2026-05-19T10:33:19.391000Z,camera.capture,on,true,,,,,on,0
b17133f8,2026-05-19T07:11:45.574000Z,camera.torch,on,true,true,true,true,,,0
b17133f8,2026-05-19T07:11:51.623000Z,camera.capture,on,true,,,,,on,0
b17133f8,2026-05-19T07:14:23.271000Z,camera.torch,on,true,true,true,true,,,0
b17133f8,2026-05-19T07:14:31.394000Z,camera.capture,on,true,,,,,on,0
b17133f8,2026-05-19T07:16:12.520000Z,camera.torch,on,true,true,true,true,,,0
b17133f8,2026-05-19T07:16:23.306000Z,camera.capture,on,true,,,,,on,0
93bab076,2026-05-19T07:11:45.574000Z,camera.torch,on,true,true,true,true,,,0
93bab076,2026-05-19T07:11:51.623000Z,camera.capture,on,true,,,,,on,0
93bab076,2026-05-19T07:14:23.271000Z,camera.torch,on,true,true,true,true,,,0
93bab076,2026-05-19T07:14:31.394000Z,camera.capture,on,true,,,,,on,0
625fd85d,2026-05-19T07:11:45.574000Z,camera.torch,on,true,true,true,true,,,0
625fd85d,2026-05-19T07:11:51.623000Z,camera.capture,on,true,,,,,on,0
