tdStamp,drDir,deltaMs,actual,klass,build,fullTC,fullConf,fullMethod,fullPeakR,fullROuter,crmTC,crmConf,crmMethod,crmPeakR,crmROuter,aimCircleFrac,sameTC,fullCorrect,crmCorrect
2026-04-27_13-21-00-705Z,report_2026-04-27_13-20-54-484Z,6221,52,XL,102,0,0.000,fft-agreement+pap474-abstain,253,201,15,0.000,fft90-fallback,157,106,,N,N,N
2026-04-27_13-24-12-798Z,report_2026-04-27_13-24-06-421Z,6377,52,XL,102,0,0.000,fft-agreement+pap474-abstain,100,126,52,0.000,retry-bc-consensus+chainring-pk+pap961-aim-circle-prior-abstain,288,341,,N,N,N
2026-04-27_13-27-43-775Z,report_2026-04-27_13-27-37-789Z,5986,52,XL,102,0,0.000,fft-agreement+pap474-abstain,316,312,15,0.436,fft90-fallback,189,176,,N,N,N
2026-04-28_06-50-20-391Z,report_2026-04-28_06-50-13-532Z,6859,42,XL,105,0,0.000,fft90-fallback+pap474-abstain,276,164,42,0.678,bc-fft,338,314,0.8695233509870005,N,N,Y
2026-04-28_06-52-14-899Z,report_2026-04-28_06-52-08-181Z,6718,42,XL,105,10,0.292,fft90-fallback,196,108,11,0.382,low-conf-consensus,307,331,,N,N,N
2026-04-28_06-54-24-694Z,report_2026-04-28_06-54-17-834Z,6860,42,XL,105,0,0.000,fft90-fallback+pap474-abstain,285,152,42,0.926,fft-agreement,314,297,0.8695233509870005,N,N,Y
2026-04-28_06-56-36-143Z,report_2026-04-28_06-56-29-927Z,6216,52,XL,105,11,0.420,bc-consensus+fft-agree,246,245,51,0.000,retry-bc-consensus+chainring-pk+pap961-aim-circle-prior-abstain,256,324,0.8695233509870005,N,N,N
2026-04-28_06-58-55-390Z,report_2026-04-28_06-58-48-671Z,6719,52,XL,105,53,0.000,fft90-fallback+xl-peak-override+pap961-aim-circle-prior-abstain,176,152,0,0.000,fft90-fallback+pap474-abstain,256,152,,N,N,N
2026-04-28_07-01-23-211Z,report_2026-04-28_07-01-16-707Z,6504,52,XL,105,0,0.000,fft90-fallback+pap474-abstain,165,189,53,0.596,bc-consensus+fft-agree+pap1059-chainring-tc-confirmed,344,196,0.8695233509870005,N,N,N
2026-04-28_07-03-25-120Z,report_2026-04-28_07-03-18-512Z,6608,42,XL,105,0,0.000,fft-agreement+pap474-abstain,280,154,42,0.671,fft-agreement,318,300,0.8695233509870005,N,N,Y
2026-04-28_11-25-03-709Z,report_2026-04-28_11-24-49-303Z,14406,42,XL,106,42,1.000,bc-consensus+peak+pap1059-chainring-tc-confirmed,202,110,42,1.000,bc-consensus+peak,393,380,0.8695233509870005,Y,Y,Y
2026-04-28_11-42-46-509Z,report_2026-04-28_11-42-39-398Z,7111,42,XL,106,42,0.697,bc-consensus+pap1059-chainring-tc-confirmed,72,102,42,1.000,bc-consensus+peak,390,376,0.8695233509870005,Y,Y,Y
2026-04-28_14-00-29-906Z,report_2026-04-28_14-00-22-268Z,7638,42,XL,107,13,0.000,bc-peaks,135,101,42,1.000,bc-consensus+peak,399,384,1,N,N,Y
2026-04-28_14-18-32-698Z,report_2026-04-28_14-18-24-256Z,8442,34,XL,107,40,0.000,fft90-fallback,242,142,12,0.000,low-conf-consensus,65,85,1,N,N,N
2026-04-28_14-33-47-405Z,report_2026-04-28_14-33-41-543Z,5862,11,Small,107,11,1.000,bc-consensus+peak,159,136,11,1.000,bc-consensus+peak,357,385,1,Y,Y,Y
