stamp,klass,actual,A_w,A_h,A_tc,A_conf,A_method,A_outcome,A_ms,B_w,B_h,B_tc,B_conf,B_method,B_outcome,B_ms,tc_changed,method_changed,conf_delta
2026-04-04_09-10-20-407Z,Small,13,675,900,13,0.0000,bc-consensus,ABSTAIN,16682,900,900,13,0.0000,bc-consensus+pap961-aim-circle-prior-abstain,ABSTAIN,22883,0,1,0.0000
2026-04-05_08-33-27-869Z,Small,11,675,900,11,0.0000,bc-fft+pap961-aim-circle-prior-abstain,ABSTAIN,21706,900,900,11,0.0000,bc-consensus+peak,ABSTAIN,23510,0,1,0.0000
2026-04-05_16-50-12-545Z,Small,11,675,900,11,1.0000,bc-consensus+peak,CORRECT,15914,900,900,11,1.0000,peak,CORRECT,22108,0,1,0.0000
2026-04-05_20-12-48-480Z,Small,13,675,900,13,1.0000,bc-consensus+peak,CORRECT,17991,900,900,13,1.0000,bc-consensus+peak,CORRECT,23165,0,0,0.0000
2026-04-19_11-29-33-819Z,Small,11,675,900,11,1.0000,bc-consensus+peak,CORRECT,17133,900,900,11,1.0000,peak,CORRECT,23253,0,1,0.0000
2026-04-19_20-32-41-522Z,Small,11,675,900,12,0.0000,low-conf-consensus,ABSTAIN,21863,900,900,11,0.0000,bc-fft,ABSTAIN,27394,1,1,0.0000
2026-04-21_06-25-02-778Z,Small,11,900,675,11,1.0000,peak,CORRECT,16191,900,900,11,1.0000,bc-consensus+fft-agree,CORRECT,22809,0,1,0.0000
2026-04-22_19-01-14-588Z,Small,11,675,900,11,1.0000,bc-consensus+peak,CORRECT,16451,900,900,12,0.0000,fft-agreement,ABSTAIN,26508,1,1,-1.0000
2026-04-04_09-09-24-950Z,Mid,15,675,900,15,1.0000,bc-consensus+peak,CORRECT,17416,900,900,15,1.0000,bc-consensus+peak,CORRECT,26585,0,0,0.0000
2026-04-05_08-27-08-187Z,Mid,14,675,900,10,0.0000,bc-consensus,ABSTAIN,16985,900,900,14,1.0000,bc-consensus+peak,CORRECT,23523,1,1,1.0000
2026-04-06_08-15-57-376Z,Mid,14,675,900,14,1.0000,bc-consensus+peak,CORRECT,19071,900,900,14,0.9265,bc-consensus+peak,CORRECT,31635,0,0,-0.0735
2026-04-13_09-33-06-154Z,Mid,14,675,900,14,1.0000,bc-consensus+peak,CORRECT,16841,900,900,14,1.0000,bc-consensus+peak,CORRECT,22938,0,0,0.0000
2026-04-19_14-53-55-150Z,Mid,18,675,900,18,1.0000,fft-agreement,CORRECT,16025,900,900,18,1.0000,bc-consensus+peak,CORRECT,23848,0,1,0.0000
2026-04-19_20-05-09-636Z,Mid,15,675,900,10,0.0000,bc-fft,ABSTAIN,18852,900,900,15,0.0000,retry-peak+pap961-aim-circle-prior-abstain,ABSTAIN,30702,1,1,0.0000
2026-04-21_06-20-54-220Z,Mid,14,900,675,14,0.9471,retry-bc-consensus+peak,CORRECT,22464,900,900,14,1.0000,bc-consensus+peak,CORRECT,22226,0,1,0.0529
2026-04-22_19-02-53-014Z,Mid,14,900,675,14,1.0000,peak,CORRECT,17044,900,900,18,0.0000,fft90-fallback,ABSTAIN,29966,1,1,-1.0000
2026-04-08_18-30-50-993Z,Large,21,675,900,21,1.0000,bc-consensus+peak,CORRECT,19558,900,900,21,1.0000,bc-consensus+peak,CORRECT,25724,0,0,0.0000
2026-04-16_11-26-39-022Z,Large,21,900,675,0,0.0000,fft90-fallback+mid-op-override+pap632-fft-floor-abstain,ABSTAIN,22762,900,900,14,0.5018,fft90-fallback,CONF-WRONG,30318,1,1,0.5018
2026-04-19_15-30-17-488Z,Large,21,900,675,11,0.0000,retry-fft90-fallback,ABSTAIN,23179,900,900,29,0.0000,bc-fft+large-op-override,ABSTAIN,27073,1,1,0.0000
2026-04-19_18-47-36-063Z,Large,24,675,900,0,0.0000,fft90-fallback+pap632-fft-floor-abstain,ABSTAIN,25908,900,900,23,0.0000,low-conf-consensus,ABSTAIN,32198,1,1,0.0000
2026-04-20_16-29-57-130Z,Large,24,675,900,0,0.0000,fft-agreement+mid-op-override+pap632-fft-floor-abstain,ABSTAIN,18683,900,900,0,0.0000,fft-agreement+pap632-fft-floor-abstain,ABSTAIN,26962,0,1,0.0000
2026-04-21_19-26-08-385Z,Large,21,900,675,20,0.0000,fft-agreement,ABSTAIN,25281,900,900,10,0.0000,bc-consensus,ABSTAIN,23245,1,1,0.0000
2026-04-22_19-16-09-601Z,Large,24,675,900,15,0.0000,fft90-fallback,ABSTAIN,24977,900,900,11,0.3389,low-conf-consensus,CONF-WRONG,23870,1,1,0.3389
2026-04-24_06-56-14-137Z,Large,28,675,900,28,0.8875,fft-agreement,CORRECT,19588,900,900,28,1.0000,peak,CORRECT,24275,0,1,0.1125
2026-04-24_10-54-55-930Z,XL,42,675,900,40,0.0000,fft90-fallback+xl-peak-override+pap961-aim-circle-prior-abstain,ABSTAIN,22493,900,900,10,0.0000,bc-fft+pap961-aim-circle-prior-abstain,ABSTAIN,31876,1,1,0.0000
2026-04-27_13-27-43-775Z,XL,52,900,675,0,0.0000,fft-agreement+pap474-abstain,ABSTAIN,22655,900,900,0,0.0000,bc-fft+pap632-fft-floor-abstain,ABSTAIN,24333,0,1,0.0000
2026-04-28_14-00-29-906Z,XL,42,675,900,13,0.0000,bc-peaks,ABSTAIN,22603,900,900,10,0.0000,fft-agreement,ABSTAIN,28654,1,1,0.0000
2026-04-29_05-37-44-380Z,XL,52,675,900,0,0.0000,low-conf-consensus+op-up-override+pap632-fft-floor-abstain,ABSTAIN,24969,900,900,0,0.0000,low-conf-consensus+op-up-override+pap632-fft-floor-abstain,ABSTAIN,24911,0,0,0.0000
2026-04-30_10-19-29-950Z,XL,36,675,900,36,1.0000,bc-consensus+pap1059-chainring-tc-confirmed,CORRECT,23644,900,900,36,1.0000,bc-consensus+peak+pap1059-chainring-tc-confirmed,CORRECT,27995,0,1,0.0000
2026-04-30_20-09-43-249Z,XL,50,675,900,16,0.2520,fft90-fallback,CONF-WRONG,30784,900,900,50,0.8708,bc-consensus+pap1059-chainring-tc-confirmed,CORRECT,24763,1,1,0.6188
2026-05-01_14-52-11-873Z,XL,42,675,900,41,0.2374,bc-peaks,CORRECT,24840,900,900,42,0.5281,fft-agreement+pap1059-chainring-tc-confirmed,CORRECT,35165,1,1,0.2907
2026-05-01_15-14-13-835Z,XL,52,675,900,0,0.0000,fft90-fallback+pap632-fft-floor-abstain,ABSTAIN,24532,900,900,0,0.0000,bc-fft+pap632-fft-floor-abstain,ABSTAIN,23638,0,1,0.0000
