tdStamp,drDir,deltaMs,actual,build,head_tc,head_conf,head_method,head_peakR,head_rOuter,prev_tc,prev_conf,prev_method,prev_peakR,prev_rOuter,head_correct,prev_correct,delta_state,dir_flip,conf_delta
2026-04-27_13-21-00-705Z,report_2026-04-27_13-20-54-484Z,6221,52,102,15,0,fft90-fallback,157,106,15,0,fft90-fallback,157,106,N,N,NO_CHANGE_ABSTAIN,N,0
2026-04-27_13-24-12-798Z,report_2026-04-27_13-24-06-421Z,6377,52,102,52,0,retry-bc-consensus+chainring-pk+pap961-aim-circle-prior-abstain,288,341,52,0,retry-bc-consensus+chainring-pk+pap961-aim-circle-prior-abstain,288,341,N,N,NO_CHANGE_ABSTAIN,N,0
2026-04-27_13-27-43-775Z,report_2026-04-27_13-27-37-789Z,5986,52,102,15,0.4356,fft90-fallback,189,176,15,0.4356,fft90-fallback,189,176,N,N,NO_CHANGE_WRONG,N,0
2026-04-28_06-50-20-391Z,report_2026-04-28_06-50-13-532Z,6859,42,105,42,0.6778,bc-fft,338,314,42,0.6778,bc-fft,338,314,Y,Y,NO_CHANGE_CORRECT,N,0
2026-04-28_06-52-14-899Z,report_2026-04-28_06-52-08-181Z,6718,42,105,11,0.3817,low-conf-consensus,307,331,11,0.3817,low-conf-consensus,307,331,N,N,NO_CHANGE_WRONG,N,0
2026-04-28_06-54-24-694Z,report_2026-04-28_06-54-17-834Z,6860,42,105,42,0.9258,fft-agreement,314,297,42,0.9258,fft-agreement,314,297,Y,Y,NO_CHANGE_CORRECT,N,0
2026-04-28_06-56-36-143Z,report_2026-04-28_06-56-29-927Z,6216,52,105,51,0,retry-bc-consensus+chainring-pk+pap961-aim-circle-prior-abstain,256,324,51,0,retry-bc-consensus+chainring-pk+pap961-aim-circle-prior-abstain,256,324,N,N,NO_CHANGE_ABSTAIN,N,0
2026-04-28_06-58-55-390Z,report_2026-04-28_06-58-48-671Z,6719,52,105,0,0,fft90-fallback+pap474-abstain,256,152,0,0,fft90-fallback+pap474-abstain,256,152,N,N,NO_CHANGE_ABSTAIN,N,0
2026-04-28_07-01-23-211Z,report_2026-04-28_07-01-16-707Z,6504,52,105,53,0.5957,bc-consensus+fft-agree,344,196,53,0.5957,bc-consensus+fft-agree+pap1059-chainring-tc-confirmed,344,196,N,N,NO_CHANGE_WRONG,N,0
2026-04-28_07-03-25-120Z,report_2026-04-28_07-03-18-512Z,6608,42,105,42,0.6711,fft-agreement,318,300,42,0.6711,fft-agreement,318,300,Y,Y,NO_CHANGE_CORRECT,N,0
2026-04-28_11-25-03-709Z,report_2026-04-28_11-24-49-303Z,14406,42,106,42,1,bc-consensus+peak,393,380,42,1,bc-consensus+peak,393,380,Y,Y,NO_CHANGE_CORRECT,N,0
2026-04-28_11-42-46-509Z,report_2026-04-28_11-42-39-398Z,7111,42,106,42,1,bc-consensus+peak,390,376,42,1,bc-consensus+peak,390,376,Y,Y,NO_CHANGE_CORRECT,N,0
2026-04-28_14-00-29-906Z,report_2026-04-28_14-00-22-268Z,7638,42,107,42,1,bc-consensus+peak,399,384,42,1,bc-consensus+peak,399,384,Y,Y,NO_CHANGE_CORRECT,N,0
2026-04-28_14-18-32-698Z,report_2026-04-28_14-18-24-256Z,8442,34,107,12,0,low-conf-consensus,65,85,12,0,low-conf-consensus,65,85,N,N,NO_CHANGE_ABSTAIN,N,0
2026-04-28_18-27-23-983Z,report_2026-04-28_18-27-17-432Z,6551,52,107,31,0,retry-bc-peaks,315,331,31,0,retry-bc-peaks,315,331,N,N,NO_CHANGE_ABSTAIN,N,0
2026-04-28_18-29-55-917Z,report_2026-04-28_18-29-49-560Z,6357,52,107,45,0.3963,retry-bc-peaks,306,355,45,0.3963,retry-bc-peaks,306,355,N,N,NO_CHANGE_WRONG,N,0
2026-04-28_18-32-08-432Z,report_2026-04-28_18-32-02-431Z,6001,42,107,45,0.2101,fft90-fallback,418,441,45,0.2101,fft90-fallback,418,441,N,N,NO_CHANGE_WRONG,N,0
2026-04-28_18-34-58-887Z,report_2026-04-28_18-34-52-708Z,6179,42,107,42,0.7428,bc-consensus,386,356,42,0.7428,bc-consensus,386,356,Y,Y,NO_CHANGE_CORRECT,N,0
2026-04-29_05-29-10-169Z,report_2026-04-29_05-29-04-170Z,5999,42,110,41,0.4786,fft90-fallback,392,441,41,0.4786,fft90-fallback,392,441,N,N,NO_CHANGE_WRONG,N,0
2026-04-29_05-31-31-338Z,report_2026-04-29_05-31-25-376Z,5962,42,110,41,0.8234,peak,393,410,41,0.8234,peak,393,410,N,N,NO_CHANGE_WRONG,N,0
2026-04-29_05-33-41-732Z,report_2026-04-29_05-33-35-933Z,5799,52,110,52,0.474,retry-bc-peaks,330,386,52,0.474,retry-bc-peaks,330,386,Y,Y,NO_CHANGE_CORRECT,N,0
2026-04-29_05-35-39-053Z,report_2026-04-29_05-35-33-518Z,5535,52,110,24,0,retry-bc-peaks,283,355,24,0,retry-bc-peaks,283,355,N,N,NO_CHANGE_ABSTAIN,N,0
2026-04-29_05-37-44-380Z,report_2026-04-29_05-37-38-177Z,6203,52,110,50,0.6104,retry-bc-peaks,304,339,50,0.6104,retry-bc-peaks,304,339,N,N,NO_CHANGE_WRONG,N,0
2026-04-30_05-29-59-315Z,report_2026-04-30_05-29-52-517Z,6798,52,112,52,1,fft-agreement,400,336,52,1,fft-agreement+pap1059-chainring-tc-confirmed,400,336,Y,Y,NO_CHANGE_CORRECT,N,0
2026-04-30_05-31-33-683Z,report_2026-04-30_05-31-27-363Z,6320,52,112,52,0.5365,fft-agreement,357,295,52,0.5365,fft-agreement+pap1059-chainring-tc-confirmed,357,295,Y,Y,NO_CHANGE_CORRECT,N,0
2026-04-30_05-32-57-251Z,report_2026-04-30_05-32-51-092Z,6159,42,112,42,0.6652,bc-fft,360,398,42,0.6652,bc-fft,360,398,Y,Y,NO_CHANGE_CORRECT,N,0
2026-04-30_05-34-26-023Z,report_2026-04-30_05-34-20-458Z,5565,42,112,43,0.728,bc-fft+pap868-fft90-xl-rescue-A,436,441,43,0.728,bc-fft+pap868-fft90-xl-rescue-A,436,441,N,N,NO_CHANGE_WRONG,N,0
2026-04-30_05-36-04-910Z,report_2026-04-30_05-35-59-637Z,5273,42,112,42,0,bc-fft+pap868-fft90-xl-rescue-A+pap961-aim-circle-prior-abstain,287,373,42,0.728,bc-fft+pap868-fft90-xl-rescue-A+pap961-aim-circle-prior-abstain,287,373,N,Y,LOSS,N,0.728
2026-04-30_05-37-41-094Z,report_2026-04-30_05-37-35-156Z,5938,42,112,39,0,bc-consensus+pap961-aim-circle-prior-abstain,236,276,39,0,bc-consensus+pap961-aim-circle-prior-abstain,236,276,N,N,NO_CHANGE_ABSTAIN,N,0
2026-04-30_10-09-16-909Z,report_2026-04-30_10-09-03-515Z,13394,34,114,18,0,fft90-fallback,118,116,18,0,fft90-fallback,118,116,N,N,NO_CHANGE_ABSTAIN,N,0
2026-04-30_10-14-55-670Z,report_2026-04-30_10-14-44-086Z,11584,34,114,28,0,fft90-fallback,42,49,28,0,fft90-fallback,42,49,N,N,NO_CHANGE_ABSTAIN,N,0
2026-04-30_10-17-13-321Z,report_2026-04-30_10-17-03-115Z,10206,34,114,34,1,bc-consensus+fft-agree,369,367,34,1,bc-consensus+fft-agree,369,367,Y,Y,NO_CHANGE_CORRECT,N,0
2026-04-30_10-19-29-950Z,report_2026-04-30_10-19-19-295Z,10655,36,114,35,0.7871,bc-consensus+peak,386,278,35,0.7871,bc-consensus+peak+pap1059-chainring-tc-confirmed,386,278,N,N,NO_CHANGE_WRONG,N,0
2026-04-30_10-23-20-845Z,report_2026-04-30_10-23-07-161Z,13684,36,114,36,1,bc-consensus+peak,381,288,36,1,bc-consensus+peak+pap1059-chainring-tc-confirmed,381,288,Y,Y,NO_CHANGE_CORRECT,N,0
2026-04-30_11-31-00-084Z,report_2026-04-30_11-30-30-379Z,29705,42,114,42,1,bc-consensus+peak,394,393,42,1,bc-consensus+peak,394,393,Y,Y,NO_CHANGE_CORRECT,N,0
2026-04-30_11-35-41-631Z,report_2026-04-30_11-35-27-927Z,13704,42,114,42,0.5842,bc-consensus+fft-agree,373,376,42,0.5842,bc-consensus+fft-agree,373,376,Y,Y,NO_CHANGE_CORRECT,N,0
2026-04-30_11-41-12-489Z,report_2026-04-30_11-41-02-507Z,9982,32,114,32,1,bc-consensus+peak,389,324,32,1,bc-consensus+peak+pap1059-chainring-tc-confirmed,389,324,Y,Y,NO_CHANGE_CORRECT,N,0
2026-04-30_11-42-53-294Z,report_2026-04-30_11-42-43-863Z,9431,32,114,32,1,bc-consensus+peak,378,358,32,1,bc-consensus+peak,378,358,Y,Y,NO_CHANGE_CORRECT,N,0
2026-04-30_12-31-00-766Z,report_2026-04-30_12-30-47-750Z,13016,50,114,50,0.9417,bc-consensus+peak,396,390,50,0.9417,bc-consensus+peak,396,390,Y,Y,NO_CHANGE_CORRECT,N,0
2026-04-30_12-33-17-234Z,report_2026-04-30_12-33-02-441Z,14793,48,114,48,1,bc-consensus+peak,383,373,48,1,bc-consensus+peak,383,373,Y,Y,NO_CHANGE_CORRECT,N,0
2026-04-30_12-35-25-332Z,report_2026-04-30_12-35-13-949Z,11383,48,114,48,1,bc-consensus,394,429,48,1,bc-consensus,394,429,Y,Y,NO_CHANGE_CORRECT,N,0
2026-04-30_20-03-52-567Z,report_2026-04-30_20-03-45-995Z,6572,52,116,52,1,peak,389,331,52,1,peak,389,331,Y,Y,NO_CHANGE_CORRECT,N,0
2026-04-30_20-09-43-249Z,report_2026-04-30_20-09-36-928Z,6321,50,116,50,0.8263,bc-consensus,400,190,50,0.8263,bc-consensus+pap1059-chainring-tc-confirmed,400,190,Y,Y,NO_CHANGE_CORRECT,N,0
2026-04-30_20-31-06-904Z,report_2026-04-30_20-31-00-301Z,6603,48,116,48,0.7975,bc-consensus,414,411,48,0.7975,bc-consensus,414,411,Y,Y,NO_CHANGE_CORRECT,N,0
2026-05-01_08-22-17-365Z,report_2026-05-01_08-22-10-875Z,6490,52,116,13,0,fft-agreement+pap961-aim-circle-prior-abstain,292,287,13,0,fft-agreement+pap961-aim-circle-prior-abstain,292,287,N,N,NO_CHANGE_ABSTAIN,N,0
2026-05-01_08-24-07-480Z,report_2026-05-01_08-24-01-784Z,5696,52,116,0,0,fft90-fallback+pap632-fft-floor-abstain+pap961-aim-circle-prior-abstain,249,254,0,0,fft90-fallback+pap632-fft-floor-abstain+pap961-aim-circle-prior-abstain,249,254,N,N,NO_CHANGE_ABSTAIN,N,0
2026-05-01_08-26-39-688Z,report_2026-05-01_08-26-34-045Z,5643,52,116,32,0,retry-bc-peaks,315,347,32,0,retry-bc-peaks,315,347,N,N,NO_CHANGE_ABSTAIN,N,0
2026-05-01_08-28-38-224Z,report_2026-05-01_08-28-32-755Z,5469,50,116,50,0.632,bc-consensus,396,222,50,0.632,bc-consensus+pap1059-chainring-tc-confirmed,396,222,Y,Y,NO_CHANGE_CORRECT,N,0
2026-05-01_08-31-05-858Z,report_2026-05-01_08-30-59-457Z,6401,50,116,50,0.7326,bc-consensus+pap1059-chainring-tc-confirmed,305,369,50,0.7326,bc-consensus+pap1059-chainring-tc-confirmed,305,369,Y,Y,NO_CHANGE_CORRECT,N,0
2026-05-01_09-04-04-917Z,report_2026-05-01_09-03-58-615Z,6302,48,116,48,1,bc-consensus+peak,401,400,48,1,bc-consensus+peak,401,400,Y,Y,NO_CHANGE_CORRECT,N,0
2026-05-01_09-07-12-086Z,report_2026-05-01_09-07-06-225Z,5861,42,116,42,0.4929,fft-agreement,401,387,42,0.4929,fft-agreement,401,387,Y,Y,NO_CHANGE_CORRECT,N,0
2026-05-01_09-09-26-510Z,report_2026-05-01_09-09-19-262Z,7248,36,116,10,0,fft90-fallback,299,232,10,0,fft90-fallback,299,232,N,N,NO_CHANGE_ABSTAIN,N,0
2026-05-01_14-52-11-873Z,report_2026-05-01_14-52-05-858Z,6015,42,117,12,0,bc-fft+pap963-campa-bolt-abstain,374,441,12,0,bc-fft+pap963-campa-bolt-abstain,374,441,N,N,NO_CHANGE_ABSTAIN,N,0
2026-05-01_14-53-42-651Z,report_2026-05-01_14-53-36-988Z,5663,42,117,42,1,bc-consensus+peak,396,363,42,1,bc-consensus+peak,396,363,Y,Y,NO_CHANGE_CORRECT,N,0
2026-05-01_14-55-07-717Z,report_2026-05-01_14-55-01-423Z,6294,42,117,42,0.6876,bc-consensus+fft-agree,397,367,42,0.6876,bc-consensus+fft-agree,397,367,Y,Y,NO_CHANGE_CORRECT,N,0
