stamp,actual,bucket,tc,conf,correct,abstain,confidentWrong,offBy,budgetExhausted,runtime,method
2026-04-04_09-09-24-950Z,15,Small  9-15T,15,1.000,1,0,0,0,0,1593,
2026-04-04_09-09-54-631Z,14,Small  9-15T,14,1.000,1,0,0,0,0,991,
2026-04-04_09-10-20-407Z,13,Small  9-15T,13,0.000,0,1,0,0,0,1064,
2026-04-04_09-10-51-656Z,11,Small  9-15T,17,0.121,0,0,1,6,0,1477,
2026-04-04_16-15-39-652Z,14,Small  9-15T,14,1.000,1,0,0,0,0,918,
2026-04-04_16-16-09-444Z,14,Small  9-15T,14,1.000,1,0,0,0,0,791,
2026-04-04_16-16-44-639Z,14,Small  9-15T,14,0.894,1,0,0,0,0,788,
2026-04-04_18-49-40-768Z,14,Small  9-15T,14,1.000,1,0,0,0,0,763,
2026-04-04_18-50-11-106Z,14,Small  9-15T,14,1.000,1,0,0,0,0,692,
2026-04-04_18-52-30-549Z,14,Small  9-15T,14,1.000,1,0,0,0,0,960,
2026-04-04_18-53-44-084Z,14,Small  9-15T,14,1.000,1,0,0,0,0,944,
2026-04-04_18-54-21-451Z,14,Small  9-15T,14,0.820,1,0,0,0,0,742,
2026-04-05_08-24-37-589Z,14,Small  9-15T,13,0.000,0,1,0,1,0,1424,
2026-04-05_08-25-08-743Z,14,Small  9-15T,14,1.000,1,0,0,0,0,959,
2026-04-05_08-25-39-887Z,14,Small  9-15T,14,1.000,1,0,0,0,0,1079,
2026-04-05_08-26-06-796Z,14,Small  9-15T,14,1.000,1,0,0,0,0,758,
2026-04-05_08-27-08-187Z,14,Small  9-15T,10,0.000,0,1,0,4,0,855,
2026-04-05_08-27-44-023Z,14,Small  9-15T,14,0.979,1,0,0,0,0,683,
2026-04-05_08-29-38-474Z,15,Small  9-15T,15,0.896,1,0,0,0,0,940,
2026-04-05_08-30-34-676Z,15,Small  9-15T,15,1.000,1,0,0,0,0,940,
2026-04-05_08-31-06-222Z,13,Small  9-15T,0,0.000,0,1,0,13,0,1202,
2026-04-05_08-31-34-725Z,13,Small  9-15T,0,0.000,0,1,0,13,0,1409,
2026-04-05_08-32-16-126Z,13,Small  9-15T,13,0.000,0,1,0,0,0,835,
2026-04-05_08-32-48-875Z,11,Small  9-15T,11,0.000,0,1,0,0,0,840,
2026-04-05_08-33-27-869Z,11,Small  9-15T,11,0.000,0,1,0,0,0,1282,
2026-04-05_08-34-06-051Z,11,Small  9-15T,11,0.000,0,1,0,0,0,801,
2026-04-05_13-27-32-499Z,14,Small  9-15T,14,1.000,1,0,0,0,0,946,
2026-04-05_13-31-32-807Z,14,Small  9-15T,14,0.839,1,0,0,0,0,866,
2026-04-05_14-34-16-932Z,15,Small  9-15T,15,1.000,1,0,0,0,0,850,
2026-04-05_14-35-16-858Z,15,Small  9-15T,15,1.000,1,0,0,0,0,950,
2026-04-05_14-36-18-288Z,14,Small  9-15T,14,1.000,1,0,0,0,0,953,
2026-04-05_14-37-17-240Z,14,Small  9-15T,14,1.000,1,0,0,0,0,819,
2026-04-05_14-38-39-916Z,13,Small  9-15T,13,0.000,0,1,0,0,0,822,
2026-04-05_14-39-43-491Z,13,Small  9-15T,13,1.000,1,0,0,0,0,859,
2026-04-05_14-40-38-072Z,11,Small  9-15T,11,0.000,0,1,0,0,0,833,
2026-04-05_14-41-38-021Z,11,Small  9-15T,11,1.000,1,0,0,0,0,764,
2026-04-05_16-50-12-545Z,11,Small  9-15T,11,1.000,1,0,0,0,0,649,
2026-04-05_17-30-18-613Z,11,Small  9-15T,11,1.000,1,0,0,0,0,693,
2026-04-05_17-37-19-161Z,11,Small  9-15T,11,1.000,1,0,0,0,0,680,
2026-04-05_17-39-11-112Z,13,Small  9-15T,13,1.000,1,0,0,0,0,806,
2026-04-05_17-42-01-194Z,14,Small  9-15T,14,1.000,1,0,0,0,0,785,
2026-04-05_17-42-25-166Z,14,Small  9-15T,14,1.000,1,0,0,0,0,840,
2026-04-05_17-45-32-734Z,15,Small  9-15T,15,1.000,1,0,0,0,0,943,
2026-04-05_20-05-36-867Z,11,Small  9-15T,11,0.000,0,1,0,0,0,752,
2026-04-05_20-11-19-230Z,13,Small  9-15T,13,1.000,1,0,0,0,0,789,
2026-04-05_20-12-48-480Z,13,Small  9-15T,13,1.000,1,0,0,0,0,822,
2026-04-05_20-14-33-985Z,15,Small  9-15T,14,1.000,0,0,1,1,0,835,
2026-04-06_08-15-57-376Z,14,Small  9-15T,14,1.000,1,0,0,0,0,902,
2026-04-06_09-24-05-913Z,15,Small  9-15T,14,0.924,0,0,1,1,0,894,
