stamp,actual,bucket,tc,conf,correct,abstain,confidentWrong,offBy,budgetExhausted,runtime,method
2026-04-04_09-09-24-950Z,15,Small  9-15T,15,1.000,1,0,0,0,0,2735,
2026-04-04_09-09-54-631Z,14,Small  9-15T,14,1.000,1,0,0,0,0,3933,
2026-04-04_09-10-20-407Z,13,Small  9-15T,13,0.000,0,1,0,0,0,2429,
2026-04-04_09-10-51-656Z,11,Small  9-15T,17,0.121,0,0,1,6,0,3896,
2026-04-04_16-15-39-652Z,14,Small  9-15T,14,1.000,1,0,0,0,0,1821,
2026-04-04_16-16-09-444Z,14,Small  9-15T,14,1.000,1,0,0,0,0,2603,
2026-04-04_16-16-44-639Z,14,Small  9-15T,14,0.894,1,0,0,0,0,3077,
2026-04-04_18-49-40-768Z,14,Small  9-15T,14,1.000,1,0,0,0,0,1907,
2026-04-04_18-50-11-106Z,14,Small  9-15T,14,1.000,1,0,0,0,0,1960,
2026-04-04_18-52-30-549Z,14,Small  9-15T,14,1.000,1,0,0,0,0,4082,
2026-04-04_18-53-44-084Z,14,Small  9-15T,14,1.000,1,0,0,0,0,3243,
2026-04-04_18-54-21-451Z,14,Small  9-15T,14,0.820,1,0,0,0,0,2900,
2026-04-05_08-24-37-589Z,14,Small  9-15T,13,0.000,0,1,0,1,0,3868,
2026-04-05_08-25-08-743Z,14,Small  9-15T,14,1.000,1,0,0,0,0,2157,
2026-04-05_08-25-39-887Z,14,Small  9-15T,14,1.000,1,0,0,0,0,2741,
2026-04-05_08-26-06-796Z,14,Small  9-15T,14,1.000,1,0,0,0,0,2401,
2026-04-05_08-27-08-187Z,14,Small  9-15T,10,0.000,0,1,0,4,0,2315,
2026-04-05_08-27-44-023Z,14,Small  9-15T,14,0.979,1,0,0,0,0,2214,
2026-04-05_08-29-38-474Z,15,Small  9-15T,15,0.896,1,0,0,0,0,1504,
2026-04-05_08-30-34-676Z,15,Small  9-15T,15,1.000,1,0,0,0,0,1027,
2026-04-05_08-31-06-222Z,13,Small  9-15T,0,0.000,0,1,0,13,0,1395,
2026-04-05_08-31-34-725Z,13,Small  9-15T,0,0.000,0,1,0,13,0,1329,
2026-04-05_08-32-16-126Z,13,Small  9-15T,13,0.000,0,1,0,0,0,809,
2026-04-05_08-32-48-875Z,11,Small  9-15T,11,0.000,0,1,0,0,0,746,
2026-04-05_08-33-27-869Z,11,Small  9-15T,11,0.000,0,1,0,0,0,1220,
2026-04-05_08-34-06-051Z,11,Small  9-15T,11,0.000,0,1,0,0,0,1318,
2026-04-05_13-27-32-499Z,14,Small  9-15T,14,1.000,1,0,0,0,0,3685,
2026-04-05_13-31-32-807Z,14,Small  9-15T,14,0.839,1,0,0,0,0,3192,
2026-04-05_14-34-16-932Z,15,Small  9-15T,15,1.000,1,0,0,0,0,2683,
2026-04-05_14-35-16-858Z,15,Small  9-15T,15,1.000,1,0,0,0,0,1857,
2026-04-05_14-36-18-288Z,14,Small  9-15T,14,1.000,1,0,0,0,0,2937,
2026-04-05_14-37-17-240Z,14,Small  9-15T,14,1.000,1,0,0,0,0,2620,
2026-04-05_14-38-39-916Z,13,Small  9-15T,13,0.000,0,1,0,0,0,1708,
2026-04-05_14-39-43-491Z,13,Small  9-15T,13,1.000,1,0,0,0,0,2379,
2026-04-05_14-40-38-072Z,11,Small  9-15T,11,0.000,0,1,0,0,0,1438,
2026-04-05_14-41-38-021Z,11,Small  9-15T,11,1.000,1,0,0,0,0,2421,
2026-04-05_16-50-12-545Z,11,Small  9-15T,11,1.000,1,0,0,0,0,4518,
2026-04-05_17-30-18-613Z,11,Small  9-15T,11,1.000,1,0,0,0,0,2603,
2026-04-05_17-37-19-161Z,11,Small  9-15T,11,1.000,1,0,0,0,0,2004,
2026-04-05_17-39-11-112Z,13,Small  9-15T,13,1.000,1,0,0,0,0,2698,
2026-04-05_17-42-01-194Z,14,Small  9-15T,14,1.000,1,0,0,0,0,2310,
2026-04-05_17-42-25-166Z,14,Small  9-15T,14,1.000,1,0,0,0,0,2742,
2026-04-05_17-45-32-734Z,15,Small  9-15T,15,1.000,1,0,0,0,0,2421,
2026-04-05_20-05-36-867Z,11,Small  9-15T,11,0.000,0,1,0,0,0,2019,
2026-04-05_20-11-19-230Z,13,Small  9-15T,13,1.000,1,0,0,0,0,2742,
2026-04-05_20-12-48-480Z,13,Small  9-15T,13,1.000,1,0,0,0,0,2296,
2026-04-05_20-14-33-985Z,15,Small  9-15T,14,1.000,0,0,1,1,0,2585,
2026-04-06_08-15-57-376Z,14,Small  9-15T,14,1.000,1,0,0,0,0,2590,
2026-04-06_09-24-05-913Z,15,Small  9-15T,14,0.924,0,0,1,1,0,2107,
2026-04-06_10-01-25-781Z,11,Small  9-15T,11,0.000,0,1,0,0,0,2379,
2026-04-06_10-07-48-115Z,13,Small  9-15T,13,1.000,1,0,0,0,0,1117,
2026-04-08_18-28-12-142Z,18,Mid    16-20T,18,1.000,1,0,0,0,0,904,
2026-04-08_18-30-50-993Z,21,Large  21-28T,21,1.000,1,0,0,0,0,924,
2026-04-08_18-34-56-184Z,24,Large  21-28T,24,1.000,1,0,0,0,0,1026,
2026-04-08_18-38-08-065Z,28,Large  21-28T,28,1.000,1,0,0,0,0,1114,
2026-04-08_18-41-35-308Z,15,Small  9-15T,15,1.000,1,0,0,0,0,977,
2026-04-08_18-44-08-940Z,14,Small  9-15T,14,1.000,1,0,0,0,0,962,
2026-04-08_18-46-36-879Z,11,Small  9-15T,11,1.000,1,0,0,0,0,954,
2026-04-08_19-46-53-896Z,28,Large  21-28T,28,1.000,1,0,0,0,0,1661,
2026-04-08_19-49-12-150Z,24,Large  21-28T,20,0.000,0,1,0,4,0,2993,
2026-04-08_19-51-45-965Z,21,Large  21-28T,21,0.902,1,0,0,0,0,2201,
2026-04-08_19-54-20-313Z,18,Mid    16-20T,18,1.000,1,0,0,0,0,2878,
2026-04-08_19-57-06-684Z,15,Small  9-15T,15,1.000,1,0,0,0,0,2802,
2026-04-08_19-57-29-323Z,15,Small  9-15T,15,1.000,1,0,0,0,0,1809,
2026-04-08_20-00-15-040Z,14,Small  9-15T,14,1.000,1,0,0,0,0,2519,
2026-04-08_20-03-04-386Z,11,Small  9-15T,11,1.000,1,0,0,0,0,4215,
2026-04-11_17-06-39-977Z,14,Small  9-15T,14,1.000,1,0,0,0,0,2252,
2026-04-11_17-08-43-082Z,15,Small  9-15T,15,1.000,1,0,0,0,0,2681,
